,Mode,Set P,PEEP,PSV,Actual RR,Set RR,Vti,Cdyn,EtCo2,SpO2 (%),Animal,Breed,Gender,Weigth(kg),Age(years),FinalCondition,Temperature (F),Actual_PIP,Heart_Rate,Blood_Pressure_SAP
504,6,20.0,8.0,6.0,26.0,26.0,97.0,15.0,28.0,97.0,0,2,0,4.22,12.0,0,95.7,30.5,139.0,105.0
505,6,10.0,7.0,6.0,42.0,20.0,97.0,15.0,40.0,97.0,0,2,0,4.22,12.0,0,99.1,15.6,118.0,120.0
506,6,11.0,7.0,6.0,20.0,20.0,57.0,15.0,43.0,97.0,0,2,0,4.22,12.0,0,99.3,14.9,147.0,120.0
507,6,10.0,7.0,6.0,32.0,20.0,55.0,15.0,39.0,100.0,0,2,0,4.22,12.0,0,101.5,15.1,122.0,118.0
508,6,10.0,7.0,6.0,42.0,20.0,61.0,15.0,43.0,99.0,0,2,0,4.22,12.0,0,101.7,15.5,154.0,118.0
509,6,9.0,6.0,6.0,33.0,20.0,42.0,15.0,43.0,99.0,0,2,0,4.22,12.0,0,101.5,16.8,127.0,118.0
510,6,9.0,6.0,6.0,38.0,24.0,54.0,15.0,47.0,98.0,0,2,0,4.22,12.0,0,100.8,13.9,84.0,120.0
511,6,9.0,6.0,6.0,46.0,20.0,97.0,15.0,37.0,97.0,0,2,0,4.22,12.0,0,100.2,14.5,73.0,140.0
512,6,9.0,6.0,6.0,47.0,20.0,97.0,15.0,39.0,95.0,0,2,0,4.22,12.0,0,100.4,14.5,100.0,140.0
514,6,9.0,6.0,6.0,42.0,20.0,97.0,15.0,50.0,95.0,0,2,0,4.22,12.0,0,100.4,17.1,70.0,105.0
519,6,10.0,5.0,6.0,31.0,31.0,59.0,15.0,62.0,95.0,0,2,0,4.22,12.0,0,101.8,15.1,65.0,112.0
520,6,12.0,6.0,6.0,31.0,31.0,77.0,10.5,49.0,95.0,0,2,0,4.22,12.0,0,101.7,17.5,70.0,105.0
523,6,15.0,7.0,7.0,22.0,22.0,62.0,15.0,56.0,97.0,1,13,0,5.6,12.0,0,98.2,15.0,120.0,75.0
526,6,16.0,7.0,7.0,22.0,22.0,67.0,15.0,47.0,97.0,1,13,0,5.6,12.0,0,97.9,22.4,120.0,80.0
527,6,16.0,7.0,7.0,22.0,22.0,70.0,15.0,49.0,97.0,1,13,0,5.6,12.0,0,100.2,22.8,120.0,80.0
529,6,17.0,7.0,7.0,23.0,23.0,72.0,15.0,47.0,95.0,1,13,0,5.6,12.0,0,101.3,24.0,120.0,80.0
530,6,17.0,7.0,7.0,23.0,23.0,71.0,15.0,44.0,96.0,1,13,0,5.6,12.0,0,99.5,24.2,120.0,92.0
531,6,17.0,7.0,7.0,23.0,23.0,76.0,15.0,36.0,94.0,1,13,0,5.6,12.0,0,99.1,24.1,120.0,90.0
532,6,16.0,7.0,7.0,20.0,20.0,69.0,15.0,42.0,96.0,1,13,0,5.6,12.0,0,99.1,23.2,120.0,84.0
533,6,15.0,7.0,7.0,20.0,20.0,64.0,15.0,49.0,98.0,1,13,0,5.6,12.0,0,100.6,22.2,120.0,84.0
534,6,15.0,7.0,7.0,24.0,24.0,72.0,15.0,45.0,98.0,1,13,0,5.6,12.0,0,101.7,22.2,120.0,94.0
535,6,14.0,6.0,7.0,23.0,23.0,71.0,15.0,44.0,100.0,1,13,0,5.6,12.0,0,101.5,21.3,120.0,90.0
536,6,14.0,5.0,7.0,23.0,23.0,68.0,15.0,45.0,99.0,1,13,0,5.6,12.0,0,99.3,19.1,120.0,110.0
538,6,13.0,5.0,7.0,24.0,24.0,66.0,15.0,47.0,99.0,1,13,0,5.6,12.0,0,98.8,19.0,120.0,82.0
539,6,13.0,5.0,7.0,24.0,24.0,59.0,15.0,37.0,93.0,1,13,0,5.6,12.0,0,97.5,17.6,120.0,100.0
540,6,12.0,5.0,9.0,24.0,24.0,63.0,15.0,39.0,99.0,1,13,0,5.6,12.0,0,98.1,18.8,120.0,90.0
541,6,13.0,5.0,9.0,24.0,24.0,60.0,15.0,39.0,94.0,1,13,0,5.6,12.0,0,97.9,16.9,120.0,88.0
542,6,13.0,5.0,9.0,24.0,24.0,60.0,15.0,43.0,94.0,1,13,0,5.6,12.0,0,98.8,17.7,120.0,100.0
546,6,14.0,5.0,9.0,24.0,24.0,80.0,15.0,35.0,96.0,1,13,0,5.6,12.0,0,96.6,19.4,120.0,110.0
547,6,14.0,6.0,9.0,24.0,24.0,66.0,15.0,41.0,97.0,1,13,0,5.6,12.0,0,96.4,20.6,120.0,108.0
549,6,13.0,6.0,9.0,24.0,24.0,67.0,15.0,45.0,98.0,1,13,0,5.6,12.0,0,99.1,18.7,120.0,94.0
552,6,12.0,5.0,9.0,24.0,24.0,60.0,15.0,46.0,98.0,1,13,0,5.6,12.0,0,99.3,16.7,120.0,110.0
553,6,12.0,5.0,9.0,24.0,24.0,67.0,15.0,46.0,100.0,1,13,0,5.6,12.0,0,99.5,16.9,120.0,114.0
573,6,12.0,4.0,7.0,19.0,18.0,62.0,6.84,39.0,99.0,1,13,0,5.6,12.0,0,98.6,15.2,120.0,110.0
574,6,10.0,3.0,7.0,18.0,18.0,35.0,15.0,47.0,97.0,1,13,0,5.6,12.0,0,99.1,12.4,120.0,100.0
576,6,10.0,3.0,7.0,14.0,10.0,51.0,6.74,47.0,95.0,1,13,0,5.6,12.0,0,99.7,12.9,120.0,110.0
577,6,10.0,3.0,9.0,44.0,6.0,34.0,15.0,42.0,98.0,1,13,0,5.6,12.0,0,99.5,11.9,120.0,150.0
589,1,11.0,7.0,6.0,17.0,17.0,49.0,15.0,98.0,49.0,1,3,0,8.2,6.0,0,95.2,17.2,110.0,110.0
590,1,13.0,7.0,6.0,22.0,20.0,72.0,15.0,90.0,64.0,1,3,0,8.2,6.0,0,94.8,19.5,91.0,140.0
591,1,13.0,7.0,6.0,51.0,20.0,47.0,15.0,99.0,47.0,1,3,0,8.2,6.0,0,95.0,15.5,110.0,85.0
592,1,13.0,7.0,6.0,19.0,20.0,96.0,15.0,99.0,42.0,1,3,0,8.2,6.0,0,95.0,19.2,90.0,90.0
593,1,13.0,7.0,6.0,20.0,20.0,103.0,15.0,99.0,41.0,1,3,0,8.2,6.0,0,95.5,19.1,110.0,90.0
594,1,13.0,7.0,6.0,26.0,22.0,52.0,15.0,98.0,40.0,1,3,0,8.2,6.0,0,95.9,20.0,110.0,85.0
595,1,13.0,9.0,6.0,67.0,23.0,89.0,15.0,93.0,62.0,1,3,0,8.2,6.0,0,97.2,21.2,76.0,120.0
596,1,13.0,9.0,6.0,56.0,23.0,37.0,15.0,78.0,35.0,1,3,0,8.2,6.0,0,97.2,22.1,93.0,18.0
597,1,13.0,7.0,6.0,40.0,23.0,64.0,15.0,90.0,58.0,1,3,0,8.2,6.0,0,97.7,15.0,85.0,90.0
598,1,13.0,7.0,6.0,15.0,23.0,87.0,15.0,91.0,54.0,1,3,0,8.2,6.0,0,97.7,19.1,81.0,90.0
599,1,13.0,7.0,6.0,22.0,23.0,91.0,15.0,88.0,54.0,1,3,0,8.2,6.0,0,97.7,20.2,90.0,94.0
600,1,13.0,7.0,6.0,22.0,23.0,70.0,15.0,94.0,56.0,1,3,0,8.2,6.0,0,98.1,20.6,100.0,94.0
601,1,14.0,7.0,10.0,44.0,27.0,32.0,15.0,94.0,59.0,1,3,0,8.2,6.0,0,99.5,17.8,117.0,92.0
602,1,14.0,7.0,10.0,55.0,27.0,62.0,15.0,95.0,53.0,1,3,0,8.2,6.0,0,100.0,18.3,111.0,96.0
603,1,14.0,7.0,10.0,34.0,27.0,85.0,15.0,93.0,51.0,1,3,0,8.2,6.0,0,99.9,21.6,98.0,100.0
604,1,12.0,8.0,10.0,27.0,27.0,89.0,15.0,92.0,55.0,1,3,0,8.2,6.0,0,99.7,20.1,99.0,94.0
605,1,12.0,6.0,10.0,29.0,27.0,86.0,15.0,91.0,51.0,1,3,0,8.2,6.0,0,95.7,18.9,101.0,100.0
621,1,15.0,7.0,12.0,31.0,32.0,70.0,15.0,87.0,48.0,1,3,0,8.2,6.0,0,99.0,22.9,177.0,94.0
622,1,15.0,7.0,12.0,74.0,32.0,51.0,15.0,89.0,52.0,1,3,0,8.2,6.0,0,99.0,20.7,98.0,95.0
623,1,17.0,10.0,12.0,32.0,32.0,66.0,15.0,90.0,47.0,1,3,0,8.2,6.0,0,98.6,26.6,67.0,90.0
624,1,17.0,8.0,12.0,33.0,32.0,34.0,15.0,90.0,51.0,1,3,0,8.2,6.0,0,97.5,25.0,75.0,95.0
625,1,17.0,8.0,12.0,32.0,32.0,71.0,15.0,90.0,50.0,1,3,0,8.2,6.0,0,97.7,26.2,79.0,100.0
626,1,17.0,8.0,12.0,32.0,32.0,73.0,15.0,90.0,52.0,1,3,0,8.2,6.0,0,98.6,25.5,74.0,95.0
627,1,27.0,7.0,12.0,32.0,32.0,100.0,15.0,97.0,40.0,1,3,0,8.2,6.0,0,99.3,33.7,65.0,90.0
628,1,27.0,7.0,12.0,32.0,32.0,100.0,15.0,93.0,35.0,1,3,0,8.2,6.0,0,100.0,33.8,120.0,75.0
629,1,27.0,7.0,12.0,32.0,32.0,115.0,15.0,94.0,31.0,1,3,0,8.2,6.0,0,100.0,33.1,73.0,78.0
630,1,27.0,7.0,12.0,32.0,32.0,111.0,15.0,93.0,29.0,1,3,0,8.2,6.0,0,100.4,33.3,70.0,88.0
631,1,27.0,7.0,12.0,32.0,32.0,109.0,15.0,91.0,29.0,1,3,0,8.2,6.0,0,100.4,33.6,72.0,85.0
632,1,27.0,7.0,12.0,32.0,32.0,134.0,15.0,89.0,31.0,1,3,0,8.2,6.0,0,100.4,33.0,72.0,86.0
633,1,27.0,7.0,12.0,32.0,32.0,107.0,15.0,93.0,95.0,1,3,0,8.2,6.0,0,101.5,33.7,74.0,90.0
634,1,27.0,7.0,12.0,33.0,32.0,97.0,15.0,97.0,32.0,1,3,0,8.2,6.0,0,101.7,33.9,72.0,90.0
635,1,27.0,7.0,12.0,34.0,32.0,104.0,15.0,97.0,30.0,1,3,0,8.2,6.0,0,101.1,34.3,68.0,90.0
642,1,26.0,7.0,12.0,32.0,32.0,95.0,15.0,99.0,30.0,1,3,0,8.2,6.0,0,100.2,32.5,70.0,76.0
643,1,26.0,7.0,12.0,34.0,32.0,101.0,15.0,98.0,30.0,1,3,0,8.2,6.0,0,100.0,33.2,62.0,79.0
644,1,27.0,7.0,12.0,30.0,30.0,97.0,15.0,98.0,31.0,1,3,0,8.2,6.0,0,100.0,32.6,69.0,64.0
645,1,26.0,6.0,12.0,30.0,30.0,104.0,15.0,97.0,30.0,1,3,0,8.2,6.0,0,100.0,31.4,75.0,61.0
646,1,26.0,6.0,12.0,30.0,30.0,102.0,15.0,96.0,31.0,1,3,0,8.2,6.0,0,100.0,31.3,70.0,66.0
647,1,25.0,6.0,12.0,30.0,30.0,98.0,15.0,95.0,33.0,1,3,0,8.2,6.0,0,100.4,30.2,71.0,66.0
648,1,25.0,6.0,12.0,30.0,30.0,98.0,15.0,93.0,35.0,1,3,0,8.2,6.0,0,100.8,30.1,75.0,61.0
649,1,27.0,7.0,12.0,30.0,30.0,100.0,15.0,93.0,31.0,1,3,0,8.2,6.0,0,100.8,33.3,74.0,62.0
650,1,26.0,6.0,12.0,30.0,30.0,101.0,15.0,97.0,34.0,1,3,0,8.2,6.0,0,100.8,31.2,75.0,76.0
651,1,26.0,6.0,12.0,30.0,30.0,100.0,15.0,93.0,35.0,1,3,0,8.2,6.0,0,99.9,32.0,89.0,78.0
652,1,26.0,6.0,12.0,30.0,30.0,100.0,15.0,94.0,40.0,1,3,0,8.2,6.0,0,99.9,32.0,76.0,78.0
654,1,26.0,6.0,14.0,30.0,30.0,94.0,15.0,85.0,37.0,1,3,0,8.2,6.0,0,100.6,32.0,92.0,77.0
655,1,26.0,6.0,14.0,30.0,30.0,94.0,15.0,90.0,41.0,1,3,0,8.2,6.0,0,100.0,32.3,79.0,67.0
656,1,26.0,7.0,14.0,30.0,30.0,100.0,15.0,90.0,41.0,1,3,0,8.2,6.0,0,100.8,32.6,80.0,67.0
657,1,26.0,7.0,14.0,30.0,30.0,100.0,15.0,88.0,43.0,1,3,0,8.2,6.0,0,101.3,32.1,87.0,63.0
658,1,24.0,7.0,14.0,30.0,30.0,105.0,15.0,90.0,43.0,1,3,0,8.2,6.0,0,101.7,32.0,88.0,65.0
659,1,24.0,7.0,14.0,64.0,30.0,61.0,15.0,90.0,45.0,1,3,0,8.2,6.0,0,101.3,21.7,108.0,59.0
660,1,24.0,7.0,14.0,63.0,30.0,74.0,15.0,90.0,40.0,1,3,0,8.2,6.0,0,101.3,23.2,107.0,52.0
661,1,27.0,7.0,14.0,29.0,30.0,123.0,15.0,89.0,47.0,1,3,0,8.2,6.0,0,101.3,33.5,76.0,60.0
662,1,27.0,7.0,14.0,30.0,30.0,108.0,15.0,93.0,47.0,1,3,0,8.2,6.0,0,101.3,33.3,75.0,57.0
663,1,27.0,7.0,14.0,32.0,32.0,97.0,15.0,96.0,42.0,1,3,0,8.2,6.0,0,100.9,33.6,77.0,69.0
667,1,27.0,7.0,14.0,32.0,32.0,84.0,15.0,96.0,37.0,1,3,0,8.2,6.0,0,97.7,33.5,82.0,61.0
668,1,27.0,7.0,14.0,32.0,32.0,95.0,15.0,93.0,33.0,1,3,0,8.2,6.0,0,97.7,33.4,74.0,71.0
669,1,27.0,7.0,14.0,32.0,32.0,99.0,15.0,89.0,32.0,1,3,0,8.2,6.0,0,98.8,33.3,60.0,87.0
670,1,27.0,7.0,14.0,32.0,32.0,95.0,15.0,90.0,34.0,1,3,0,8.2,6.0,0,99.3,33.5,61.0,81.0
671,1,27.0,7.0,14.0,32.0,32.0,94.0,15.0,91.0,34.0,1,3,0,8.2,6.0,0,100.2,33.1,75.0,74.0
672,1,27.0,7.0,14.0,32.0,32.0,103.0,15.0,90.0,38.0,1,3,0,8.2,6.0,0,100.4,33.1,74.0,71.0
673,1,27.0,7.0,14.0,32.0,32.0,91.0,15.0,85.0,37.0,1,3,0,8.2,6.0,0,100.8,33.0,104.0,77.0
674,1,27.0,7.0,14.0,54.0,32.0,96.0,15.0,90.0,32.0,1,3,0,8.2,6.0,0,100.9,34.1,106.0,67.0
675,1,27.0,7.0,14.0,31.0,32.0,90.0,15.0,89.0,41.0,1,3,0,8.2,6.0,0,101.5,33.1,115.0,75.0
676,1,30.0,7.0,14.0,54.0,32.0,100.0,15.0,79.0,38.0,1,3,0,8.2,6.0,0,101.7,38.0,130.0,73.0
677,1,30.0,7.0,14.0,32.0,32.0,108.0,15.0,85.0,38.0,1,3,0,8.2,6.0,0,101.8,36.8,130.0,64.0
678,1,30.0,7.0,14.0,32.0,32.0,101.0,15.0,86.0,37.0,1,3,0,8.2,6.0,0,102.0,37.2,116.0,66.0
679,1,30.0,7.0,14.0,32.0,32.0,103.0,15.0,88.0,36.0,1,3,0,8.2,6.0,0,101.8,37.2,115.0,63.0
680,1,30.0,7.0,14.0,32.0,32.0,109.0,15.0,85.0,35.0,1,3,0,8.2,6.0,0,101.3,37.8,106.0,71.0
681,1,30.0,8.0,14.0,32.0,32.0,88.0,15.0,86.0,40.0,1,3,0,8.2,6.0,0,101.1,37.0,118.0,67.0
682,1,30.0,8.0,14.0,32.0,32.0,89.0,15.0,87.0,41.0,1,3,0,8.2,6.0,0,100.4,35.4,136.0,74.0
683,1,27.0,8.0,14.0,30.0,30.0,63.0,15.0,95.0,45.0,1,3,0,8.2,6.0,0,100.0,36.3,100.0,68.0
685,1,27.0,8.0,14.0,30.0,30.0,61.0,15.0,93.0,46.0,1,3,0,8.2,6.0,0,99.0,35.8,106.0,71.0
687,1,30.0,6.0,14.0,32.0,32.0,87.0,15.0,95.0,50.0,1,3,0,8.2,6.0,0,99.3,36.6,97.0,70.0
688,1,30.0,6.0,14.0,32.0,32.0,83.0,15.0,87.0,45.0,1,3,0,8.2,6.0,0,98.2,35.5,95.0,72.0
690,1,31.0,8.0,25.0,68.0,30.0,70.0,15.0,95.0,20.0,1,3,0,8.2,6.0,0,99.3,35.4,106.0,68.0
695,1,40.0,8.0,25.0,30.0,30.0,109.0,15.0,85.0,39.0,1,3,0,8.2,6.0,0,99.0,50.6,105.0,65.0
696,1,40.0,8.0,25.0,30.0,30.0,109.0,15.0,88.0,36.0,1,3,0,8.2,6.0,0,99.1,50.7,127.0,61.0
697,1,35.0,7.0,25.0,28.0,30.0,60.0,15.0,90.0,37.0,1,3,0,8.2,6.0,0,99.3,32.3,136.0,57.0
698,1,35.0,7.0,25.0,46.0,30.0,120.0,15.0,94.0,45.0,1,3,0,8.2,6.0,0,99.5,32.8,114.0,51.0
699,1,35.0,7.0,25.0,30.0,30.0,123.0,15.0,88.0,32.0,1,3,0,8.2,6.0,0,99.1,42.4,119.0,51.0
700,1,35.0,7.0,25.0,29.0,30.0,98.0,15.0,43.0,29.0,1,3,0,8.2,6.0,0,98.1,43.7,125.0,51.0
701,1,35.0,7.0,25.0,30.0,30.0,106.0,15.0,81.0,29.0,1,3,0,8.2,6.0,0,98.2,43.5,121.0,51.0
707,1,35.0,7.0,25.0,61.0,30.0,72.0,15.0,95.0,34.0,1,3,0,8.2,6.0,0,97.9,33.4,116.0,54.0
708,1,35.0,7.0,25.0,60.0,30.0,104.0,15.0,95.0,32.0,1,3,0,8.2,6.0,0,98.6,34.2,138.0,54.0
709,1,35.0,7.0,25.0,60.0,30.0,91.0,15.0,92.0,33.0,1,3,0,8.2,6.0,0,99.0,34.2,129.0,61.0
710,1,35.0,7.0,25.0,51.0,30.0,79.0,15.0,85.0,36.0,1,3,0,8.2,6.0,0,99.0,34.6,126.0,60.0
712,1,35.0,7.0,25.0,61.0,30.0,80.0,15.0,90.0,37.0,1,3,0,8.2,6.0,0,99.6,32.9,122.0,60.0
713,1,35.0,7.0,25.0,65.0,30.0,82.0,15.0,90.0,34.0,1,3,0,8.2,6.0,0,99.7,33.0,113.0,41.0
714,1,35.0,7.0,25.0,65.0,30.0,82.0,15.0,90.0,34.0,1,3,0,8.2,6.0,0,98.4,33.6,112.0,40.0
715,1,35.0,7.0,25.0,26.0,25.0,85.0,15.0,95.0,36.0,1,3,0,8.2,6.0,0,98.8,32.3,116.0,45.0
716,1,35.0,7.0,25.0,26.0,30.0,105.0,15.0,89.0,36.0,1,3,0,8.2,6.0,0,99.0,32.2,116.0,48.0
717,1,35.0,7.0,25.0,26.0,30.0,84.0,15.0,88.0,36.0,1,3,0,8.2,6.0,0,99.0,32.7,113.0,44.0
718,1,35.0,7.0,25.0,26.0,30.0,82.0,15.0,87.0,35.0,1,3,0,8.2,6.0,0,98.8,32.4,110.0,46.0
719,1,35.0,7.0,25.0,26.0,30.0,95.0,15.0,90.0,36.0,1,3,0,8.2,6.0,0,98.1,32.7,114.0,34.0
722,1,35.0,7.0,25.0,26.0,30.0,97.0,15.0,93.0,35.0,1,3,0,8.2,6.0,0,98.4,32.0,112.0,45.0
723,1,35.0,7.0,25.0,26.0,30.0,95.0,15.0,98.0,33.0,1,3,0,8.2,6.0,0,97.5,45.0,115.0,48.0
725,1,40.0,7.0,25.0,26.0,30.0,110.0,15.0,89.0,34.0,1,3,0,8.2,6.0,0,99.9,44.0,122.0,49.0
726,1,40.0,7.0,25.0,26.0,30.0,97.0,15.0,75.0,33.0,1,3,0,8.2,6.0,0,100.8,48.0,128.0,55.0
737,1,40.0,7.0,25.0,26.0,30.0,140.0,15.0,43.0,22.0,1,3,0,8.2,6.0,0,101.5,32.9,128.0,115.0
738,1,20.0,6.0,3.0,37.0,20.0,97.0,9.0,30.0,96.0,1,12,0,8.43,5.0,0,92.7,11.6,115.0,151.0
740,1,25.0,7.0,3.0,60.0,25.0,199.0,9.0,24.0,82.0,1,12,0,8.43,5.0,0,99.0,33.0,142.0,185.0
742,1,25.0,7.0,3.0,52.0,25.0,215.0,9.0,24.0,78.0,1,12,0,8.43,5.0,0,99.0,33.0,148.0,232.0
743,1,25.0,7.0,3.0,48.0,25.0,211.0,9.0,25.0,78.0,1,12,0,8.43,5.0,0,99.7,33.5,151.0,234.0
749,1,25.0,8.0,12.0,40.0,20.0,100.0,8.0,33.0,74.0,1,12,0,8.43,5.0,0,97.7,20.8,147.0,215.0
750,1,25.0,8.0,12.0,44.0,23.0,201.0,8.0,31.0,83.0,1,12,0,8.43,5.0,0,98.1,36.4,144.0,200.0
751,1,25.0,10.0,15.0,46.0,21.0,127.0,8.0,34.0,85.0,1,12,0,8.43,5.0,0,100.0,0.0,148.0,202.0
752,1,25.0,10.0,10.3,46.0,21.0,123.0,8.0,31.0,84.0,1,12,0,8.43,5.0,0,101.0,0.0,148.0,205.0
753,1,25.0,8.0,18.0,53.0,21.0,170.0,8.0,24.0,82.0,1,12,0,8.43,5.0,0,103.1,0.0,160.0,200.0
812,6,10.0,3.0,10.0,19.0,12.0,328.0,15.0,23.0,100.0,1,6,0,23.8,7.0,0,91.0,14.0,161.0,38.0
813,6,10.0,3.0,10.0,19.0,12.0,329.0,31.0,27.0,97.0,1,6,0,23.8,7.0,0,89.4,9.4,177.0,56.0
814,6,10.0,3.0,10.0,29.0,12.0,205.0,18.0,29.0,100.0,1,6,0,23.8,7.0,0,89.2,14.7,117.0,96.0
815,6,10.0,3.0,10.0,57.0,10.0,188.0,17.0,17.0,96.0,1,6,0,23.8,7.0,0,90.5,15.5,120.0,39.0
816,6,10.0,3.0,10.0,47.0,9.0,211.0,19.0,16.0,96.0,1,6,0,23.8,7.0,0,91.4,15.7,120.0,45.0
817,6,10.0,3.0,10.0,15.0,9.0,107.0,18.0,25.0,98.0,1,6,0,23.8,7.0,0,92.1,10.5,100.0,78.0
818,6,10.0,3.0,10.0,16.0,9.0,109.0,21.0,28.0,97.0,1,6,0,23.8,7.0,0,92.3,11.0,90.0,81.0
819,6,10.0,3.0,10.0,31.0,9.0,103.0,15.0,26.0,99.0,1,6,0,23.8,7.0,0,91.8,14.8,109.0,74.0
820,6,10.0,3.0,10.0,25.0,9.0,174.0,17.0,31.0,99.0,1,6,0,23.8,7.0,0,92.1,11.1,88.0,80.0
821,6,10.0,3.0,10.0,59.0,9.0,216.0,15.0,16.0,99.0,1,6,0,23.8,7.0,0,92.1,17.0,121.0,49.0
